monthly_sales,category_code,seasonally_adjusted,data_type_code,time,category_name,high_level_category
61413,445,False,SM,2017-08-01,Food and Beverage Stores,Retail Trade
57859,452,False,SM,2017-08-01,General Merchandise Stores,Retail Trade
96512,441X,False,SM,2017-08-01,Auto and Other Motor Vehicles,Retail Trade
10747,453,False,SM,2017-08-01,Miscellaneous Store Retailers,Retail Trade
12155,4521E,False,SM,2017-08-01,Department Stores,Retail Trade
431816,44000,False,SM,2017-08-01,Retail Trade,Retail Trade
49510,454,False,SM,2017-08-01,Nonstore Retailers,Nonstore Trade
54454,452,False,SM,2017-09-01,General Merchandise Stores,Retail Trade
469688,44X72,False,SM,2017-09-01,Retail Trade and Food Services,Retail and Food Services
46843,454,False,SM,2017-09-01,Nonstore Retailers,Nonstore Trade
6716,451,False,SM,2017-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
19900,448,False,SM,2017-09-01,Clothing and Accessories Stores,Retail Trade
428007,44Z72,False,SM,2017-09-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
57154,722,False,SM,2017-09-01,Food Services and Drinking Places,Food Services
412534,44000,False,SM,2017-09-01,Retail Trade,Retail Trade
60271,445,False,SM,2017-09-01,Food and Beverage Stores,Retail Trade
92116,441X,False,SM,2017-09-01,Auto and Other Motor Vehicles,Retail Trade
54132,4451,False,SM,2017-09-01,Grocery Stores,Retail Trade
369745,44Y72,False,SM,2017-09-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
10867,4521E,False,SM,2017-09-01,Department Stores,Retail Trade
28989,444,False,SM,2017-09-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
41681,447,False,SM,2017-09-01,Gasoline Stations,Retail Trade
99943,441,False,SM,2017-09-01,Motor Vehicle and Parts Dealers,Retail Trade
9677,442,False,SM,2017-09-01,Furniture and Home Furnishings Stores,Retail Trade
10190,453,False,SM,2017-09-01,Miscellaneous Store Retailers,Retail Trade
328064,44W72,False,SM,2017-09-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
26577,446,False,SM,2017-09-01,Health and Personal Care Stores,Retail Trade
7293,443,False,SM,2017-09-01,Electronics and Appliance Stores,Retail Trade
336665,44W72,False,SM,2017-10-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
89398,441X,False,SM,2017-10-01,Auto and Other Motor Vehicles,Retail Trade
6335,451,False,SM,2017-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
475986,44X72,False,SM,2017-10-01,Retail Trade and Food Services,Retail and Food Services
27787,446,False,SM,2017-10-01,Health and Personal Care Stores,Retail Trade
58229,722,False,SM,2017-10-01,Food Services and Drinking Places,Food Services
54538,4451,False,SM,2017-10-01,Grocery Stores,Retail Trade
9647,442,False,SM,2017-10-01,Furniture and Home Furnishings Stores,Retail Trade
60738,445,False,SM,2017-10-01,Food and Beverage Stores,Retail Trade
417757,44000,False,SM,2017-10-01,Retail Trade,Retail Trade
378632,44Y72,False,SM,2017-10-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
29690,444,False,SM,2017-10-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
49567,454,False,SM,2017-10-01,Nonstore Retailers,Nonstore Trade
41967,447,False,SM,2017-10-01,Gasoline Stations,Retail Trade
97354,441,False,SM,2017-10-01,Motor Vehicle and Parts Dealers,Retail Trade
10674,453,False,SM,2017-10-01,Miscellaneous Store Retailers,Retail Trade
7164,443,False,SM,2017-10-01,Electronics and Appliance Stores,Retail Trade
11144,4521E,False,SM,2017-10-01,Department Stores,Retail Trade
20451,448,False,SM,2017-10-01,Clothing and Accessories Stores,Retail Trade
56383,452,False,SM,2017-10-01,General Merchandise Stores,Retail Trade
434019,44Z72,False,SM,2017-10-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
14839,4521E,False,SM,2017-11-01,Department Stores,Retail Trade
10754,453,False,SM,2017-11-01,Miscellaneous Store Retailers,Retail Trade
10702,442,False,SM,2017-11-01,Furniture and Home Furnishings Stores,Retail Trade
40245,447,False,SM,2017-11-01,Gasoline Stations,Retail Trade
27413,446,False,SM,2017-11-01,Health and Personal Care Stores,Retail Trade
9698,443,False,SM,2017-11-01,Electronics and Appliance Stores,Retail Trade
362702,44W72,False,SM,2017-11-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
497642,44X72,False,SM,2017-11-01,Retail Trade and Food Services,Retail and Food Services
63725,452,False,SM,2017-11-01,General Merchandise Stores,Retail Trade
402947,44Y72,False,SM,2017-11-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
61105,454,False,SM,2017-11-01,Nonstore Retailers,Nonstore Trade
55405,4451,False,SM,2017-11-01,Grocery Stores,Retail Trade
441896,44000,False,SM,2017-11-01,Retail Trade,Retail Trade
24531,448,False,SM,2017-11-01,Clothing and Accessories Stores,Retail Trade
55746,722,False,SM,2017-11-01,Food Services and Drinking Places,Food Services
29202,444,False,SM,2017-11-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
62053,445,False,SM,2017-11-01,Food and Beverage Stores,Retail Trade
86920,441X,False,SM,2017-11-01,Auto and Other Motor Vehicles,Retail Trade
94695,441,False,SM,2017-11-01,Motor Vehicle and Parts Dealers,Retail Trade
