monthly_sales,category_code,time,category_name,high_level_category,is_subset
39945.0,447,2017-12-01,Gasoline Stations,Gasoline Stations,False
26760.0,444,2017-12-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
67828.0,445,2017-12-01,Food and Beverage Stores,Food and Beverage Stores,False
33871.0,448,2017-12-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
11400.0,443,2017-12-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
58343.0,4529,2017-12-01,Other General Merchandise Stores,Other General Merchandise Stores,False
11431.0,442,2017-12-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
73623.0,454,2017-12-01,Nonstore Retailers,Nonstore Retailers,False
100042.0,441,2017-12-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
20267.0,4521E,2017-12-01,Department Stores,Department Stores,False
11724.0,453,2017-12-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
557984.0,44X72,2017-12-01,Retail Trade and Food Services,Retail Trade and Food Services,False
22831.0,4423X,2017-12-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
78610.0,452,2017-12-01,General Merchandise Stores,General Merchandise Stores,False
7268.0,443,2018-01-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
60313.0,445,2018-01-01,Food and Beverage Stores,Food and Beverage Stores,False
15733.0,448,2018-01-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
23580.0,444,2018-01-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
8874.0,442,2018-01-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
53078.0,454,2018-01-01,Nonstore Retailers,Nonstore Retailers,False
54607.0,722,2018-01-01,Food Services and Drinking Places,Food Services and Drinking Places,False
9453.0,453,2018-01-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
41495.0,4529,2018-01-01,Other General Merchandise Stores,Other General Merchandise Stores,False
9127.0,4521E,2018-01-01,Department Stores,Department Stores,False
444231.0,44X72,2018-01-01,Retail Trade and Food Services,Retail Trade and Food Services,False
5910.0,451,2018-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
50622.0,452,2018-01-01,General Merchandise Stores,General Merchandise Stores,False
38954.0,447,2018-01-01,Gasoline Stations,Gasoline Stations,False
88152.0,441,2018-01-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
27687.0,446,2018-01-01,Health and Personal Care Stores,Health and Personal Care Stores,False
16142.0,4423X,2018-01-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
25643.0,446,2018-02-01,Health and Personal Care Stores,Health and Personal Care Stores,False
6949.0,443,2018-02-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
89626.0,441,2018-02-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
50805.0,452,2018-02-01,General Merchandise Stores,General Merchandise Stores,False
8697.0,442,2018-02-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
23569.0,444,2018-02-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
56396.0,445,2018-02-01,Food and Beverage Stores,Food and Beverage Stores,False
18359.0,448,2018-02-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
5608.0,451,2018-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
15646.0,4423X,2018-02-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
36876.0,447,2018-02-01,Gasoline Stations,Gasoline Stations,False
435308.0,44X72,2018-02-01,Retail Trade and Food Services,Retail Trade and Food Services,False
54852.0,722,2018-02-01,Food Services and Drinking Places,Food Services and Drinking Places,False
9670.0,4521E,2018-02-01,Department Stores,Department Stores,False
41135.0,4529,2018-02-01,Other General Merchandise Stores,Other General Merchandise Stores,False
48708.0,454,2018-02-01,Nonstore Retailers,Nonstore Retailers,False
9220.0,453,2018-02-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
10326.0,453,2018-03-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
6964.0,451,2018-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
63702.0,445,2018-03-01,Food and Beverage Stores,Food and Beverage Stores,False
63562.0,722,2018-03-01,Food Services and Drinking Places,Food Services and Drinking Places,False
29824.0,444,2018-03-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
54749.0,454,2018-03-01,Nonstore Retailers,Nonstore Retailers,False
59005.0,452,2018-03-01,General Merchandise Stores,General Merchandise Stores,False
11467.0,4521E,2018-03-01,Department Stores,Department Stores,False
508287.0,44X72,2018-03-01,Retail Trade and Food Services,Retail Trade and Food Services,False
47538.0,4529,2018-03-01,Other General Merchandise Stores,Other General Merchandise Stores,False
10181.0,442,2018-03-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
109643.0,441,2018-03-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
28455.0,446,2018-03-01,Health and Personal Care Stores,Health and Personal Care Stores,False
17749.0,4423X,2018-03-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
42183.0,447,2018-03-01,Gasoline Stations,Gasoline Stations,False
22125.0,448,2018-03-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
7568.0,443,2018-03-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
53844.0,452,2018-04-01,General Merchandise Stores,General Merchandise Stores,False
10101.0,453,2018-04-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
6813.0,443,2018-04-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
480480.0,44X72,2018-04-01,Retail Trade and Food Services,Retail Trade and Food Services,False
6279.0,451,2018-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
20378.0,448,2018-04-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
99301.0,441,2018-04-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
59427.0,445,2018-04-01,Food and Beverage Stores,Food and Beverage Stores,False
43293.0,4529,2018-04-01,Other General Merchandise Stores,Other General Merchandise Stores,False
42792.0,447,2018-04-01,Gasoline Stations,Gasoline Stations,False
16172.0,4423X,2018-04-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
10551.0,4521E,2018-04-01,Department Stores,Department Stores,False
27128.0,446,2018-04-01,Health and Personal Care Stores,Health and Personal Care Stores,False
9359.0,442,2018-04-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
32098.0,444,2018-04-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
52686.0,454,2018-04-01,Nonstore Retailers,Nonstore Retailers,False
60274.0,722,2018-04-01,Food Services and Drinking Places,Food Services and Drinking Places,False
109126.0,441,2018-05-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
12010.0,4521E,2018-05-01,Department Stores,Department Stores,False
528485.0,44X72,2018-05-01,Retail Trade and Food Services,Retail Trade and Food Services,False
48395.0,4529,2018-05-01,Other General Merchandise Stores,Other General Merchandise Stores,False
10094.0,442,2018-05-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
6714.0,451,2018-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
17471.0,4423X,2018-05-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
47700.0,447,2018-05-01,Gasoline Stations,Gasoline Stations,False
38021.0,444,2018-05-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
