monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv
4367.0,4453,2017-04-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
319219.0,4400A,2017-04-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
7865.0,443,2017-04-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
336816.0,44W72,2017-04-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
15989.0,4481,2017-04-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
21834.0,448,2017-04-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
60480.0,445,2017-04-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
473986.0,44X72,2017-04-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
7823.0,4413,2017-04-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
45083.0,4529,2017-04-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
416613.0,44000,2017-04-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
29033.0,444,2017-04-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
25241.0,4441,2017-04-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
7050.0,451,2017-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
39776.0,447,2017-04-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
54199.0,4451,2017-04-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
97394.0,441,2017-04-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
49324.0,454,2017-04-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
38822.0,45291,2017-04-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
376592.0,44Y72,2017-04-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
9395.0,442,2017-04-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
57373.0,722,2017-04-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
2523.0,44831,2017-04-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
6261.0,45299,2017-04-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
3089.0,4482,2017-04-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
17260.0,4423X,2017-04-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
770.0,44811,2017-04-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
2524.0,45431,2017-04-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
57482.0,452,2017-04-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
12399.0,4521E,2017-04-01,Department Stores,Department Stores,False,0.08625376047961941
10255.0,453,2017-04-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
26725.0,446,2017-04-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
3341.0,44812,2017-04-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
106155.0,4400C,2017-04-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
434210.0,44Z72,2017-04-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
28736.0,444,2017-05-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
335709.0,44W72,2017-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
22376.0,44611,2017-05-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
42869.0,4541,2017-05-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
57377.0,722,2017-05-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
90043.0,441X,2017-05-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
3231.0,44812,2017-05-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
799.0,44811,2017-05-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
6090.0,45299,2017-05-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
97794.0,441,2017-05-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
15843.0,4481,2017-05-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
316459.0,4400A,2017-05-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
38127.0,447,2017-05-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
17229.0,4423X,2017-05-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
49760.0,454,2017-05-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
2998.0,4482,2017-05-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
9490.0,442,2017-05-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
104844.0,4400C,2017-05-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
2528.0,44831,2017-05-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
12258.0,4521E,2017-05-01,Department Stores,Department Stores,False,0.08625376047961941
26823.0,446,2017-05-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
24999.0,4441,2017-05-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
471630.0,44X72,2017-05-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
6954.0,451,2017-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
7739.0,443,2017-05-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
7751.0,4413,2017-05-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
433503.0,44Z72,2017-05-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
21627.0,448,2017-05-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
373836.0,44Y72,2017-05-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
10070.0,453,2017-05-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
56512.0,452,2017-05-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
60621.0,445,2017-05-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
4378.0,4453,2017-05-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
2603.0,45431,2017-05-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
38164.0,45291,2017-05-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
54318.0,4451,2017-05-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
44254.0,4529,2017-05-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
414253.0,44000,2017-05-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
39131.0,45291,2017-06-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
37460.0,447,2017-06-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
22598.0,44611,2017-06-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
796.0,44811,2017-06-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
2537.0,45431,2017-06-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
21777.0,448,2017-06-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
6971.0,451,2017-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
10050.0,453,2017-06-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
57664.0,452,2017-06-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
57291.0,722,2017-06-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
7651.0,443,2017-06-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
436086.0,44Z72,2017-06-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
3023.0,4482,2017-06-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
60423.0,445,2017-06-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
106134.0,4400C,2017-06-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
337376.0,44W72,2017-06-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
416255.0,44000,2017-06-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
473546.0,44X72,2017-06-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
374836.0,44Y72,2017-06-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
27004.0,446,2017-06-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
50181.0,454,2017-06-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
98710.0,441,2017-06-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
6244.0,45299,2017-06-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
43337.0,4541,2017-06-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
25111.0,4441,2017-06-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
45375.0,4529,2017-06-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
9580.0,442,2017-06-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
4373.0,4453,2017-06-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
17231.0,4423X,2017-06-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
7714.0,4413,2017-06-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
15947.0,4481,2017-06-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
