Indent Level,Expenditure category,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
2,Commodities less food and beverages,146.651,146.864,147.435,148.439,147.605,146.698,145.566,146.433,149.136,147.909,147.715,146.359,147.92,149.182,149.663,151.325,152.599,152.228,151.492,151.165,151.289,151.937,149.295,145.964,145.62,146.883,149.344,151.843,152.161,150.688,150.874,149.991,149.578,150.007,148.997,147.899,148.253,148.304,146.714,142.355,141.639,143.229,144.856,146.405,147.175,147.003,146.034,146.342,148.303,150.285,153.389,156.346,159.47,162.845,164.035,164.825,165.071,167.881,169.51,170.179,172.227,175.114,180.695,180.477,183.797,188.392,185.573,181.945,179.658,180.284,177.977,173.135,174.751,175.907,176.732,178.713,178.852,179.065,178.686,180.354,179.759,177.943,174.724,172.516,172.324,174.276,176.099,177.393,177.054,175.756,175.392,174.621,173.715,172.796
1,Services,304.503,305.71,305.59,306.142,307.084,308.263,308.584,309.334,309.83,310.283,310.555,311.138,312.318,313.608,314.337,314.807,315.957,317.004,317.482,317.932,318.312,318.699,319.034,319.794,320.695,321.623,322.456,323.228,323.964,325.218,325.866,326.489,327.076,327.744,328.311,328.603,329.987,331.139,331.021,329.866,329.958,331.166,332.797,333.141,333.236,333.385,334.031,334.03,334.451,335.655,336.822,338.518,340.052,341.863,343.035,343.246,343.892,345.54,346.637,347.429,349.753,351.754,354.058,356.71,359.566,363.133,364.465,366.622,369.22,370.542,371.672,373.549,376.415,378.481,379.743,380.99,382.233,383.972,385.231,386.4,388.274,389.278,390.873,392.042,395.02,397.225,399.752,401.02,402.2,403.242,404.026,405.074,406.433,407.687
2,Services less rent of shelter,326.442,328.065,327.067,327.518,328.654,330.146,330.288,330.451,330.718,330.492,330.682,331.01,332.499,334.488,334.676,334.681,335.825,337.42,337.46,337.384,337.734,337.77,337.836,338.672,339.422,340.062,340.396,340.756,341.281,342.741,343.177,343.892,344.128,345.375,346.023,346.068,347.578,348.701,347.979,345.544,344.834,346.852,349.557,349.819,349.887,350.038,351.287,350.968,351.226,352.974,354.212,356.494,358.568,360.462,361.153,361.047,361.09,363.265,364.091,364.361,367.891,369.918,372.608,376.389,380.099,385.22,385.783,387.748,390.555,390.582,390.523,391.44,394.542,395.48,395.158,395.889,395.956,397.625,398.407,399.835,401.324,402.364,404.184,404.884,408.614,411.089,414.016,415.161,415.639,416.758,416.85,417.066,419.05,420.492
2,Services less medical care services,289.474,290.543,290.423,291.018,292.035,293.274,293.556,294.305,294.785,295.186,295.501,296.11,297.076,298.306,298.978,299.443,300.674,301.716,302.229,302.815,303.13,303.469,303.695,304.397,305.131,305.981,306.807,307.576,308.204,309.446,309.955,310.364,310.866,311.231,311.687,311.903,313.118,314.141,313.845,312.451,312.35,313.494,315.055,315.39,315.51,315.782,316.523,316.606,316.72,317.746,318.951,320.837,322.545,324.542,325.694,325.805,326.567,328.118,329.178,329.918,332.001,333.994,336.208,338.884,341.776,345.321,346.527,348.484,350.978,352.617,354.16,356.168,359.292,361.699,363.264,364.698,366.07,367.946,369.411,370.583,372.524,373.512,375.071,376.145,378.914,381.276,383.736,384.975,386.111,387.144,388.116,389.178,390.387,391.556
1,Durables,106.147,106.326,106.343,106.397,106.257,105.917,105.298,104.9,104.175,103.838,103.714,104.083,104.433,104.626,105.046,104.891,104.583,104.636,104.864,104.669,103.488,103.726,103.913,104.169,104.808,105.042,105.379,105.178,104.849,105.167,105.369,105.331,104.385,104.263,103.902,103.695,103.896,104.421,104.703,104.336,104.309,104.188,105.252,106.97,107.474,107.819,107.612,107.691,107.517,107.893,108.597,111.983,115.051,119.434,120.31,120.666,120.107,122.097,123.678,125.747,127.345,128.109,127.471,127.622,128.122,129.464,129.856,130.123,128.688,127.903,126.596,125.624,125.749,125.825,126.227,127.406,128.059,128.392,128.029,127.556,125.849,125.259,124.57,124.061,123.752,123.847,123.613,123.372,123.167,123.098,122.734,122.201,122.204,122.18
1,Nondurables,217.486,217.861,218.705,220.132,219.337,218.331,217.668,219.112,223.085,222.048,221.698,219.981,222.191,223.624,223.953,226.564,228.354,227.922,227.018,226.897,228.169,228.816,225.342,221.263,220.86,222.655,225.714,229.028,229.875,227.749,227.936,226.909,227.358,228.294,227.202,226.12,226.998,227.015,225.113,221.622,221.514,224.283,225.024,225.659,226.258,226.074,224.697,225.432,228.543,230.98,234.611,236.092,237.991,239.487,241.137,242.338,244.222,247.33,248.656,248.393,250.951,255.634,265.38,266.284,271.921,278.363,275.627,271.395,270.648,273.337,271.71,266.405,269.657,271.873,272.775,274.743,274.606,274.711,274.97,278.122,279.363,277.852,273.685,271.155,272.044,274.73,277.483,279.693,279.631,278.261,278.482,278.025,277.42,276.526
2,Nondurables less food,191.415,191.649,192.856,194.939,193.311,191.808,190.19,192.537,199.202,197.068,196.834,193.495,196.483,199.039,199.529,203.427,206.61,205.762,203.811,203.356,205.322,206.47,200.436,192.75,191.151,193.659,198.584,204.336,205.504,201.854,202.021,200.141,200.521,201.629,199.858,197.719,198.307,197.68,193.597,184.081,182.539,186.445,188.502,189.47,190.477,189.614,187.75,188.305,193.157,197.194,203.354,204.988,207.498,208.587,210.008,211.357,212.84,216.257,217.593,215.952,218.295,224.264,239.355,238.601,246.034,255.163,247.498,238.068,234.93,238.004,234.67,224.406,228.378,231.189,232.561,235.504,234.724,234.67,234.37,239.516,241.247,237.755,230.793,226.113,226.194,230.623,235.242,238.653,238.2,235.322,235.051,234.098,231.993,229.953
2,Nondurables less food and beverages,188.117,188.358,189.614,191.787,190.106,188.528,186.81,189.272,196.273,193.973,193.703,190.183,193.31,195.966,196.477,200.568,203.975,203.036,200.994,200.517,202.508,203.673,197.258,189.142,187.418,190.018,195.255,201.358,202.572,198.687,198.829,196.83,197.235,198.41,196.581,194.325,194.871,194.122,189.714,179.517,177.787,181.931,184.196,185.181,186.252,185.252,183.195,183.826,188.975,193.264,199.791,201.493,204.141,205.223,206.718,208.085,209.623,213.281,214.693,212.913,215.316,221.502,237.431,236.569,244.396,254.001,245.823,235.747,232.407,235.534,231.901,220.948,225.06,228.028,229.467,232.501,231.597,231.52,231.206,236.633,238.368,234.628,227.296,222.337,222.371,227.029,231.906,235.493,234.992,231.905,231.604,230.575,228.334,226.106
2,"Nondurables less food, beverages, and apparel",232.809,231.377,232.124,235.616,233.953,232.545,231.039,234.055,243.07,238.448,240.539,237.687,241.796,243.516,243.131,249.354,255.528,255.799,254.009,253.462,253.69,254.582,246.629,236.038,232.074,234.377,242.842,252.96,255.619,249.683,250.877,246.714,245.336,247.773,246.704,245.365,245.172,241.692,234.822,221.427,220.969,227.698,231.72,232.069,231.917,230.385,228.608,231.006,237.386,243.062,253.342,256.202,260.377,262.552,265.795,266.72,267.867,273.316,276.857,274.75,276.866,284.685,310.037,309.706,322.565,338.444,325.961,308.244,301.11,306.647,302.33,285.747,290.445,292.689,294.383,300.265,299.013,299.444,299.782,307.421,309.078,303.128,294.004,287.273,285.921,291.019,298.044,304.097,303.965,299.427,300.274,297.113,290.865,288.705
2,Nondurables less food and apparel,232.728,231.437,232.147,235.364,233.791,232.496,231.138,233.906,242.167,238.034,239.964,237.357,241.139,242.772,242.432,248.132,253.681,253.99,252.33,251.828,252.167,253.05,245.875,236.236,232.683,234.854,242.5,251.663,254.108,248.754,249.89,246.124,244.867,247.077,246.041,244.816,244.762,241.755,235.665,223.707,223.42,229.496,233.004,233.387,233.256,231.996,230.503,232.599,238.365,243.488,252.783,255.411,259.205,261.275,264.219,265.155,266.249,271.121,274.322,272.474,274.509,281.8,304.859,304.652,316.375,330.86,319.632,303.708,297.267,302.476,298.713,283.802,288.197,290.24,291.794,297.25,296.231,296.653,296.954,303.906,305.553,300.228,291.903,285.811,284.663,289.326,295.707,301.226,301.139,297.09,297.881,295.045,289.403,287.549
