monthly_sales,category_code,time,category_name,high_level_category,is_subset
89460.0,441,2017-02-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
9972.0,4521E,2017-02-01,Department Stores,Department Stores,False
365596.0,44000,2017-02-01,Retail Trade,Retail Trade and Food Services,True
12708.0,4481,2017-02-01,Clothing Stores,Clothing and Clothing Accessories Stores,True
47221.0,44511,2017-02-01,Supermarkets and Other Grocery (Except Convenience) Stores,Food and Beverage Stores,True
77728.0,4411,2017-02-01,Automobile Dealers,Motor Vehicle and Parts Dealers,True
2061.0,4532,2017-02-01,"Office Supplies, Stationery, and Gift Stores",Miscellaneous Store Retailers,True
3329.0,452111E,2017-02-01,Department Stores (Excl. Discount Department Stores),Department Stores,True
384183.0,44Z72,2017-02-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True
90393.0,4400C,2017-02-01,GAFO,Retail Trade and Food Services,True
6551.0,44814,2017-02-01,Family Clothing Stores,Clothing and Clothing Accessories Stores,True
3377.0,45431,2017-02-01,Fuel Dealers,Gasoline Stations,True
22347.0,72251X,2017-02-01,Limited Service Eating Places,Food Services and Drinking Places,True
6934.0,4413,2017-02-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True
79994.0,44111,2017-03-01,New Car Dealers,Motor Vehicle and Parts Dealers,True
4076.0,4453,2017-03-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True
49589.0,454,2017-03-01,Nonstore Retailers,Nonstore Retailers,False
60144.0,722,2017-03-01,Food Services and Drinking Places,Food Services and Drinking Places,False
91143.0,4411,2017-03-01,Automobile Dealers,Motor Vehicle and Parts Dealers,True
337732.0,44W72,2017-03-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True
2107.0,44831,2017-03-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True
376831.0,44Y72,2017-03-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True
4341.0,4422,2017-03-01,Home Furnishings Stores,Furniture and Home Furnishings Stores,True
1581.0,44819,2017-03-01,Other Clothing Stores,Clothing and Clothing Accessories Stores,True
1425.0,45330,2017-03-01,Used Merchandise Stores,Miscellaneous Store Retailers,True
27474.0,446,2017-03-01,Health and Personal Care Stores,Health and Personal Care Stores,False
97974.0,441X,2017-03-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True
8363.0,4413,2017-03-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True
6638.0,451,2017-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
2293.0,4532,2017-03-01,"Office Supplies, Stationery, and Gift Stores",Miscellaneous Store Retailers,True
3371.0,45431,2017-03-01,Fuel Dealers,Gasoline Stations,True
44134.0,4529,2017-03-01,Other General Merchandise Stores,Other General Merchandise Stores,False
1233.0,45322,2017-03-01,"Gift, Novelty, and Souvenir Stores",Miscellaneous Store Retailers,True
37992.0,45291,2017-03-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True
2126.0,44413,2017-03-01,Hardware Stores,Building Material and Garden Equipment and Supplies Dealers,True
11681.0,4521E,2017-03-01,Department Stores,Department Stores,False
29214.0,444,2017-03-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
5474.0,4421,2017-03-01,Furniture Stores,Furniture and Home Furnishings Stores,True
6142.0,45299,2017-03-01,All Other General Merchandise Stores,Other General Merchandise Stores,True
7500.0,443,2017-03-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
15791.0,4481,2017-03-01,Clothing Stores,Clothing and Clothing Accessories Stores,True
3795.0,45111,2017-03-01,Sporting Goods Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
2317.0,442299,2017-03-01,All Other Home Furnishings Stores,Furniture and Home Furnishings Stores,True
55815.0,452,2017-03-01,General Merchandise Stores,General Merchandise Stores,False
11149.0,44112,2017-03-01,Used Car Dealers,Motor Vehicle and Parts Dealers,True
799.0,44811,2017-03-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True
54388.0,4451,2017-03-01,Grocery Stores,Food and Beverage Stores,True
977.0,44412,2017-03-01,Paint and Wallpaper Stores,Building Material and Garden Equipment and Supplies Dealers,True
52113.0,44511,2017-03-01,Supermarkets and Other Grocery (Except Convenience) Stores,Food and Beverage Stores,True
9815.0,442,2017-03-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
22625.0,44611,2017-03-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True
1355.0,45112,2017-03-01,"Hobby, Toy, and Game Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
3818.0,452111E,2017-03-01,Department Stores (Excl. Discount Department Stores),Department Stores,True
3370.0,44812,2017-03-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True
6010.0,443142,2017-03-01,Electronics Stores,Electronics and Appliance Stores,True
1060.0,45321,2017-03-01,Office Supplies and Stationery Stores,Miscellaneous Store Retailers,True
8383.0,44814,2017-03-01,Family Clothing Stores,Clothing and Clothing Accessories Stores,True
444069.0,44Z72,2017-03-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True
692.0,451211,2017-03-01,Book Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
316687.0,4400A,2017-03-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True
60262.0,445,2017-03-01,Food and Beverage Stores,Food and Beverage Stores,False
25833.0,72251X,2017-03-01,Limited Service Eating Places,Food Services and Drinking Places,True
1490.0,443141,2017-03-01,Household Appliance Stores,Electronics and Appliance Stores,True
