cell_value,time_slot_id,data_type_code,category_code,error_data,seasonally_adj,data_type_code,time,us
28464,0,SM,444,no,yes,SM,2017-01,1
28853,0,SM,444,no,yes,SM,2017-02,1
28676,0,SM,444,no,yes,SM,2017-03,1
29033,0,SM,444,no,yes,SM,2017-04,1
28736,0,SM,444,no,yes,SM,2017-05,1
28933,0,SM,444,no,yes,SM,2017-07,1
28906,0,SM,444,no,yes,SM,2017-08,1
16175,0,SM,4481,no,yes,SM,2017-01,1
15902,0,SM,4481,no,yes,SM,2017-02,1
15990,0,SM,4481,no,yes,SM,2017-03,1
15989,0,SM,4481,no,yes,SM,2017-04,1
15843,0,SM,4481,no,yes,SM,2017-05,1
15947,0,SM,4481,no,yes,SM,2017-06,1
15779,0,SM,4481,no,yes,SM,2017-07,1
15878,0,SM,4481,no,yes,SM,2017-08,1
15917,0,SM,4481,no,yes,SM,2017-09,1
15871,0,SM,4481,no,yes,SM,2017-10,1
16005,0,SM,4481,no,yes,SM,2017-11,1
15926,0,SM,4481,no,yes,SM,2017-12,1
3329,0,SM,44812,no,yes,SM,2017-01,1
3294,0,SM,44812,no,yes,SM,2017-02,1
3250,0,SM,44812,no,yes,SM,2017-03,1
3341,0,SM,44812,no,yes,SM,2017-04,1
3231,0,SM,44812,no,yes,SM,2017-05,1
3324,0,SM,44812,no,yes,SM,2017-06,1
3308,0,SM,44812,no,yes,SM,2017-07,1
3244,0,SM,44812,no,yes,SM,2017-08,1
3226,0,SM,44812,no,yes,SM,2017-09,1
3247,0,SM,44812,no,yes,SM,2017-10,1
3252,0,SM,44812,no,yes,SM,2017-11,1
3248,0,SM,44812,no,yes,SM,2017-12,1
801,0,SM,44811,no,yes,SM,2017-01,1
787,0,SM,44811,no,yes,SM,2017-02,1
832,0,SM,44811,no,yes,SM,2017-03,1
770,0,SM,44811,no,yes,SM,2017-04,1
799,0,SM,44811,no,yes,SM,2017-05,1
796,0,SM,44811,no,yes,SM,2017-06,1
776,0,SM,44811,no,yes,SM,2017-07,1
763,0,SM,44811,no,yes,SM,2017-08,1
777,0,SM,44811,no,yes,SM,2017-09,1
747,0,SM,44811,no,yes,SM,2017-10,1
744,0,SM,44811,no,yes,SM,2017-11,1
743,0,SM,44811,no,yes,SM,2017-12,1
21592,0,SM,44611,no,yes,SM,2017-01,1
21902,0,SM,44611,no,yes,SM,2017-02,1
22030,0,SM,44611,no,yes,SM,2017-03,1
22240,0,SM,44611,no,yes,SM,2017-04,1
22376,0,SM,44611,no,yes,SM,2017-05,1
22598,0,SM,44611,no,yes,SM,2017-06,1
22470,0,SM,44611,no,yes,SM,2017-07,1
22669,0,SM,44611,no,yes,SM,2017-08,1
22811,0,SM,44611,no,yes,SM,2017-09,1
22940,0,SM,44611,no,yes,SM,2017-10,1
22993,0,SM,44611,no,yes,SM,2017-11,1
22924,0,SM,44611,no,yes,SM,2017-12,1
