monthly_sales,category_code,time,category_name,high_level_category
484163,44X72,2017-09-01,Retail Trade and Food Services,Retail and Food Services
9534,442,2017-09-01,Furniture and Home Furnishings Stores,Retail Trade
7645,443,2017-09-01,Electronics and Appliance Stores,Retail Trade
12096,4521E,2017-09-01,Department Stores,Retail Trade
383328,44Y72,2017-09-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
61321,445,2017-09-01,Food and Beverage Stores,Retail Trade
40824,447,2017-09-01,Gasoline Stations,Retail Trade
51303,454,2017-09-01,Nonstore Retailers,Nonstore Trade
27427,446,2017-09-01,Health and Personal Care Stores,Retail Trade
58198,452,2017-09-01,General Merchandise Stores,Retail Trade
29997,444,2017-09-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
426256,44000,2017-09-01,Retail Trade,Retail Trade
100835,441,2017-09-01,Motor Vehicle and Parts Dealers,Retail Trade
10326,453,2017-09-01,Miscellaneous Store Retailers,Retail Trade
40784,447,2017-10-01,Gasoline Stations,Retail Trade
10346,453,2017-10-01,Miscellaneous Store Retailers,Retail Trade
484848,44X72,2017-10-01,Retail Trade and Food Services,Retail and Food Services
50938,454,2017-10-01,Nonstore Retailers,Nonstore Trade
11997,4521E,2017-10-01,Department Stores,Retail Trade
383302,44Y72,2017-10-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
27594,446,2017-10-01,Health and Personal Care Stores,Retail Trade
7695,443,2017-10-01,Electronics and Appliance Stores,Retail Trade
9824,442,2017-10-01,Furniture and Home Furnishings Stores,Retail Trade
55200,4451,2017-10-01,Grocery Stores,Retail Trade
342518,44W72,2017-10-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
57920,452,2017-10-01,General Merchandise Stores,Retail Trade
93807,441X,2017-10-01,Auto and Other Motor Vehicles,Retail Trade
101546,441,2017-10-01,Motor Vehicle and Parts Dealers,Retail Trade
444064,44Z72,2017-10-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
58287,722,2017-10-01,Food Services and Drinking Places,Food Services
61600,445,2017-10-01,Food and Beverage Stores,Retail Trade
7016,451,2017-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
29544,444,2017-10-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
426561,44000,2017-10-01,Retail Trade,Retail Trade
21754,448,2017-10-01,Clothing and Accessories Stores,Retail Trade
347521,44W72,2017-11-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
10591,453,2017-11-01,Miscellaneous Store Retailers,Retail Trade
22028,448,2017-11-01,Clothing and Accessories Stores,Retail Trade
12083,4521E,2017-11-01,Department Stores,Retail Trade
41835,447,2017-11-01,Gasoline Stations,Retail Trade
61678,445,2017-11-01,Food and Beverage Stores,Retail Trade
490013,44X72,2017-11-01,Retail Trade and Food Services,Retail and Food Services
58317,452,2017-11-01,General Merchandise Stores,Retail Trade
389356,44Y72,2017-11-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
27746,446,2017-11-01,Health and Personal Care Stores,Retail Trade
53278,454,2017-11-01,Nonstore Retailers,Nonstore Trade
7904,443,2017-11-01,Electronics and Appliance Stores,Retail Trade
431085,44000,2017-11-01,Retail Trade,Retail Trade
58928,722,2017-11-01,Food Services and Drinking Places,Food Services
9937,442,2017-11-01,Furniture and Home Furnishings Stores,Retail Trade
92764,441X,2017-11-01,Auto and Other Motor Vehicles,Retail Trade
7112,451,2017-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
100657,441,2017-11-01,Motor Vehicle and Parts Dealers,Retail Trade
30002,444,2017-11-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
55239,4451,2017-11-01,Grocery Stores,Retail Trade
448178,44Z72,2017-11-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
54125,454,2017-12-01,Nonstore Retailers,Nonstore Trade
392099,44Y72,2017-12-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
42676,447,2017-12-01,Gasoline Stations,Retail Trade
10671,453,2017-12-01,Miscellaneous Store Retailers,Retail Trade
30059,444,2017-12-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
433299,44000,2017-12-01,Retail Trade,Retail Trade
27615,446,2017-12-01,Health and Personal Care Stores,Retail Trade
10054,442,2017-12-01,Furniture and Home Furnishings Stores,Retail Trade
21750,448,2017-12-01,Clothing and Accessories Stores,Retail Trade
55885,4451,2017-12-01,Grocery Stores,Retail Trade
449903,44Z72,2017-12-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
92351,441X,2017-12-01,Auto and Other Motor Vehicles,Retail Trade
7073,451,2017-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
59280,722,2017-12-01,Food Services and Drinking Places,Food Services
62306,445,2017-12-01,Food and Beverage Stores,Retail Trade
492579,44X72,2017-12-01,Retail Trade and Food Services,Retail and Food Services
100480,441,2017-12-01,Motor Vehicle and Parts Dealers,Retail Trade
58692,452,2017-12-01,General Merchandise Stores,Retail Trade
11912,4521E,2017-12-01,Department Stores,Retail Trade
7798,443,2017-12-01,Electronics and Appliance Stores,Retail Trade
349423,44W72,2017-12-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
54220,454,2018-01-01,Nonstore Retailers,Nonstore Trade
447525,44Z72,2018-01-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
10861,453,2018-01-01,Miscellaneous Store Retailers,Retail Trade
27604,446,2018-01-01,Health and Personal Care Stores,Retail Trade
59420,722,2018-01-01,Food Services and Drinking Places,Food Services
92157,441X,2018-01-01,Auto and Other Motor Vehicles,Retail Trade
7840,443,2018-01-01,Electronics and Appliance Stores,Retail Trade
61792,445,2018-01-01,Food and Beverage Stores,Retail Trade
347577,44W72,2018-01-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
42901,447,2018-01-01,Gasoline Stations,Retail Trade
21791,448,2018-01-01,Clothing and Accessories Stores,Retail Trade
28991,444,2018-01-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
431006,44000,2018-01-01,Retail Trade,Retail Trade
6793,451,2018-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
55336,4451,2018-01-01,Grocery Stores,Retail Trade
490426,44X72,2018-01-01,Retail Trade and Food Services,Retail and Food Services
58405,452,2018-01-01,General Merchandise Stores,Retail Trade
99948,441,2018-01-01,Motor Vehicle and Parts Dealers,Retail Trade
9860,442,2018-01-01,Furniture and Home Furnishings Stores,Retail Trade
390478,44Y72,2018-01-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
12102,4521E,2018-01-01,Department Stores,Retail Trade
62052,445,2018-02-01,Food and Beverage Stores,Retail Trade
450154,44Z72,2018-02-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
22343,448,2018-02-01,Clothing and Accessories Stores,Retail Trade
7090,451,2018-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
55555,4451,2018-02-01,Grocery Stores,Retail Trade
91880,441X,2018-02-01,Auto and Other Motor Vehicles,Retail Trade
9872,442,2018-02-01,Furniture and Home Furnishings Stores,Retail Trade
99713,441,2018-02-01,Motor Vehicle and Parts Dealers,Retail Trade
12109,4521E,2018-02-01,Department Stores,Retail Trade
58777,452,2018-02-01,General Merchandise Stores,Retail Trade
43180,447,2018-02-01,Gasoline Stations,Retail Trade
29981,444,2018-02-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
493334,44X72,2018-02-01,Retail Trade and Food Services,Retail and Food Services
433647,44000,2018-02-01,Retail Trade,Retail Trade
350441,44W72,2018-02-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
7942,443,2018-02-01,Electronics and Appliance Stores,Retail Trade
59687,722,2018-02-01,Food Services and Drinking Places,Food Services
393621,44Y72,2018-02-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
54421,454,2018-02-01,Nonstore Retailers,Nonstore Trade
10792,453,2018-02-01,Miscellaneous Store Retailers,Retail Trade
27484,446,2018-02-01,Health and Personal Care Stores,Retail Trade
393112,44Y72,2018-03-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
493022,44X72,2018-03-01,Retail Trade and Food Services,Retail and Food Services
350199,44W72,2018-03-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
99910,441,2018-03-01,Motor Vehicle and Parts Dealers,Retail Trade
450109,44Z72,2018-03-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
92095,441X,2018-03-01,Auto and Other Motor Vehicles,Retail Trade
60248,722,2018-03-01,Food Services and Drinking Places,Food Services
62229,445,2018-03-01,Food and Beverage Stores,Retail Trade
7867,443,2018-03-01,Electronics and Appliance Stores,Retail Trade
55716,4451,2018-03-01,Grocery Stores,Retail Trade
21655,448,2018-03-01,Clothing and Accessories Stores,Retail Trade
27626,446,2018-03-01,Health and Personal Care Stores,Retail Trade
11433,4521E,2018-03-01,Department Stores,Retail Trade
42913,447,2018-03-01,Gasoline Stations,Retail Trade
9875,442,2018-03-01,Furniture and Home Furnishings Stores,Retail Trade
7157,451,2018-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
10608,453,2018-03-01,Miscellaneous Store Retailers,Retail Trade
55275,454,2018-03-01,Nonstore Retailers,Nonstore Trade
432774,44000,2018-03-01,Retail Trade,Retail Trade
29626,444,2018-03-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
58033,452,2018-03-01,General Merchandise Stores,Retail Trade
55859,4451,2018-04-01,Grocery Stores,Retail Trade
59500,722,2018-04-01,Food Services and Drinking Places,Food Services
58071,452,2018-04-01,General Merchandise Stores,Retail Trade
12202,4521E,2018-04-01,Department Stores,Retail Trade
22038,448,2018-04-01,Clothing and Accessories Stores,Retail Trade
55928,454,2018-04-01,Nonstore Retailers,Nonstore Trade
451317,44Z72,2018-04-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
7941,443,2018-04-01,Electronics and Appliance Stores,Retail Trade
62345,445,2018-04-01,Food and Beverage Stores,Retail Trade
494498,44X72,2018-04-01,Retail Trade and Food Services,Retail and Food Services
10031,442,2018-04-01,Furniture and Home Furnishings Stores,Retail Trade
10677,453,2018-04-01,Miscellaneous Store Retailers,Retail Trade
394497,44Y72,2018-04-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
27909,446,2018-04-01,Health and Personal Care Stores,Retail Trade
43181,447,2018-04-01,Gasoline Stations,Retail Trade
29813,444,2018-04-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
434998,44000,2018-04-01,Retail Trade,Retail Trade
351316,44W72,2018-04-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
92207,441X,2018-04-01,Auto and Other Motor Vehicles,Retail Trade
100001,441,2018-04-01,Motor Vehicle and Parts Dealers,Retail Trade
7063,451,2018-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
456886,44Z72,2018-05-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
100775,441,2018-05-01,Motor Vehicle and Parts Dealers,Retail Trade
440091,44000,2018-05-01,Retail Trade,Retail Trade
55897,4451,2018-05-01,Grocery Stores,Retail Trade
12313,4521E,2018-05-01,Department Stores,Retail Trade
500930,44X72,2018-05-01,Retail Trade and Food Services,Retail and Food Services
59624,452,2018-05-01,General Merchandise Stores,Retail Trade
60839,722,2018-05-01,Food Services and Drinking Places,Food Services
356111,44W72,2018-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
30643,444,2018-05-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
7907,443,2018-05-01,Electronics and Appliance Stores,Retail Trade
22766,448,2018-05-01,Clothing and Accessories Stores,Retail Trade
9925,442,2018-05-01,Furniture and Home Furnishings Stores,Retail Trade
10854,453,2018-05-01,Miscellaneous Store Retailers,Retail Trade
62439,445,2018-05-01,Food and Beverage Stores,Retail Trade
55657,454,2018-05-01,Nonstore Retailers,Nonstore Trade
400155,44Y72,2018-05-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
7060,451,2018-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
92817,441X,2018-05-01,Auto and Other Motor Vehicles,Retail Trade
28397,446,2018-05-01,Health and Personal Care Stores,Retail Trade
44044,447,2018-05-01,Gasoline Stations,Retail Trade
11797,4521E,2018-06-01,Department Stores,Retail Trade
28105,446,2018-06-01,Health and Personal Care Stores,Retail Trade
92479,441X,2018-06-01,Auto and Other Motor Vehicles,Retail Trade
355016,44W72,2018-06-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
6851,451,2018-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
31162,444,2018-06-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
10782,453,2018-06-01,Miscellaneous Store Retailers,Retail Trade
398827,44Y72,2018-06-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
43811,447,2018-06-01,Gasoline Stations,Retail Trade
437762,44000,2018-06-01,Retail Trade,Retail Trade
7944,443,2018-06-01,Electronics and Appliance Stores,Retail Trade
58575,452,2018-06-01,General Merchandise Stores,Retail Trade
499218,44X72,2018-06-01,Retail Trade and Food Services,Retail and Food Services
9948,442,2018-06-01,Furniture and Home Furnishings Stores,Retail Trade
55803,454,2018-06-01,Nonstore Retailers,Nonstore Trade
455407,44Z72,2018-06-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
55696,4451,2018-06-01,Grocery Stores,Retail Trade
62198,445,2018-06-01,Food and Beverage Stores,Retail Trade
100391,441,2018-06-01,Motor Vehicle and Parts Dealers,Retail Trade
22192,448,2018-06-01,Clothing and Accessories Stores,Retail Trade
61456,722,2018-06-01,Food Services and Drinking Places,Food Services
401378,44Y72,2018-07-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
11863,4521E,2018-07-01,Department Stores,Retail Trade
10422,453,2018-07-01,Miscellaneous Store Retailers,Retail Trade
458259,44Z72,2018-07-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
6544,451,2018-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
56769,454,2018-07-01,Nonstore Retailers,Nonstore Trade
56057,4451,2018-07-01,Grocery Stores,Retail Trade
58934,452,2018-07-01,General Merchandise Stores,Retail Trade
62231,722,2018-07-01,Food Services and Drinking Places,Food Services
