monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv,year,yoy_growth,cpi_index,inflation_adjusted_sales
41515.0,4541,2017-02-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212,2017,NULL,243.603,17042.07255247267
21686.0,448,2017-02-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2017,NULL,243.603,8902.189217702573
10295.0,453,2017-02-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801,2017,NULL,243.603,4226.138430150696
432705.0,44Z72,2017-02-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524,2017,NULL,243.603,177627.1228186845
21902.0,44611,2017-02-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2017,NULL,243.603,8990.85807646047
44640.0,4529,2017-02-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052,2017,NULL,243.603,18324.89747663206
472945.0,44X72,2017-02-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846,2017,NULL,243.603,194145.80280210014
7613.0,443,2017-02-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2017,NULL,243.603,3125.166767240141
787.0,44811,2017-02-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098,2017,NULL,243.603,323.0666289003009
57382.0,722,2017-02-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2017,NULL,243.603,23555.539135396528
57059.0,452,2017-02-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407,2017,NULL,243.603,23422.94635123541
40240.0,447,2017-02-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362,2017,NULL,243.603,16518.679983415637
374178.0,44Y72,2017-02-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2017,NULL,243.603,153601.55663107595
48178.0,454,2017-02-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308,2017,NULL,243.603,19777.260542768356
28853.0,444,2017-02-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2017,NULL,243.603,11844.271211766685
15902.0,4481,2017-02-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107,2017,NULL,243.603,6527.834222074441
9497.0,442,2017-02-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764,2017,NULL,243.603,3898.556257517354
53687.0,4451,2017-02-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436,2017,NULL,243.603,22038.726945070463
38531.0,45291,2017-02-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292,2017,NULL,243.603,15817.12868889135
3023.0,4482,2017-02-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2017,NULL,243.603,1240.953518634828
59912.0,445,2017-02-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656,2017,NULL,243.603,24594.11419399597
